LabID,SiteName,SiteID,Country,Province,Age,Error,Taxa,Material,Condition,d13C,Method,Source
Beta-210733,NA,42Ws2187,USA,Utah,140,40,Zea mays,Zea Mays,NA,NA,AMS,CARD
Beta-210734,NA,42Ws2187,USA,Utah,140,40,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
PRI-08-76-2844,NA,42Ws3544,USA,Utah,1815,15,Zea mays,Zea Mays,NA,NA,NA,p3k14c
AA-45911,Tumamoc Hill,AZ AA:16:6,USA,Arizona,2078,44,Zea mays,Maize,NA,NA,AMS,p3k14c
AA-45912,Tumamoc Hill,AZ AA:16:6,USA,Arizona,2244,52,Zea mays,Maize,NA,NA,AMS,p3k14c
A-3750,Tumamoc Hill,AZ AA:16:6,USA,Arizona,2470,270,Zea mays,Maize,NA,NA,NA,p3k14c
Beta-244165,NA,42Ws1931,USA,Utah,1280,40,Zea mays,Zea Mays,NA,-10,AMS,p3k14c
Beta-244164,NA,42Ws1931,USA,Utah,1260,40,Zea mays,Zea Mays,NA,-9.7,AMS,p3k14c
Beta-244162,NA,42Ws0195,USA,Utah,1220,40,Zea mays,Zea Mays,NA,-9.1,AMS,p3k14c
Beta-244161,NA,42Ws0195,USA,Utah,1300,40,Zea mays,Zea Mays,NA,-14.5,AMS,p3k14c
Beta-206383,Mescal Wash,AZ EE:2:51 ,USA,Arizona,2580,40,Zea mays,Zea mays cupules,NA,-10.7,AMS,p3k14c
Beta-206386,Mescal Wash,AZ EE:2:51 ,USA,Arizona,2820,40,Zea mays,Maize,NA,-10.2,AMS,p3k14c
Beta-21478,Roadrunner Village,42Ws0326,USA,Utah,1465,85,Zea mays,Zea Mays,NA,NA,NA,CARD
Beta-202725,Clark,AZ CC:8:16,USA,New Mexico,2570,40,Zea mays,Zea Mays cob,NA,-11.5,AMS,p3k14c
Beta-202731,Clark,AZ CC:8:16,USA,New Mexico,2070,40,Zea mays,Zea mays cupule,NA,-11.1,AMS,p3k14c
Beta-202727,Clark,AZ CC:8:16,USA,New Mexico,2340,40,Zea mays,Zea mays cupule,NA,-10.7,AMS,p3k14c
Beta-202729,Clark,AZ CC:8:16,USA,New Mexico,2190,40,Zea mays,Zea mays cupule,NA,-10.6,AMS,p3k14c
AA-4808,Charleston,AZ EE:8:11,USA,Arizona,2365,75,Zea mays,Maize,NA,NA,AMS,p3k14c
AA-4809,Charleston,AZ EE:8:11,USA,Arizona,2565,75,Zea mays,Maize,NA,NA,AMS,p3k14c
Beta-161577,NA,42Ga4032,USA,Utah,1200,80,Zea mays,Zea Mays,NA,-8.6,NA,p3k14c
AA-4174,Bechan Cave,42Ka2546,USA,Utah,1240,180,Zea mays,Zea Mays,NA,NA,TAMS,p3k14c
