"LabID","SiteName","SiteID","Country","Province","Age","Error","MedianBP","Date","Taxa","Material","Condition","d13C","Method","OneSigma_BP_1","OneSigma_BP_2","OneSigma_BP_3","OneSigma_BP_4","OneSigma_BP_5","OneSigma_BP_6","OneSigma_BP_7","TwoSigma_BP_1","TwoSigma_BP_2","TwoSigma_BP_3","TwoSigma_BP_4","TwoSigma_BP_5","TwoSigma_BP_6","Source"
"Beta-161581",NA,"42Ga4567","USA","Utah",1170,70,1089,861,"Zea mays","Zea Mays",NA,-9.2,"AMS","1175 to 1158","1154 to 1051","1032 to 991","985 to 976",NA,NA,NA,"1270 to 1205","1190 to 1184","1178 to 956","944 to 934",NA,NA,"p3k14c"
"Beta-161582",NA,"42Wn0007","USA","Utah",1100,40,1005,945,"Zea mays","Zea Mays",NA,-10.4,"AMS","1056 to 1023","1005 to 957",NA,NA,NA,NA,NA,"1174 to 1167","1114 to 1109","1072 to 926",NA,NA,NA,"p3k14c"
"Beta-161586",NA,"42Wn1901","USA","Utah",1160,50,1070,880,"Zea mays","Zea Mays",NA,-9.2,"AMS","1175 to 1162","1124 to 1051","1032 to 991","985 to 976",NA,NA,NA,"1242 to 1227","1176 to 957",NA,NA,NA,NA,"p3k14c"
"Beta-161592",NA,"42Wn2234","USA","Utah",1770,50,1653,297,"Zea mays","Zea Mays",NA,-9.2,"AMS","1717 to 1685","1677 to 1600","1592 to 1590",NA,NA,NA,NA,"1783 to 1764","1747 to 1538",NA,NA,NA,NA,"p3k14c"
"Beta-161597",NA,"42Wn0006","USA","Utah",850,80,770,1180,"Zea mays","Zea Mays",NA,-8.8,NA,"899 to 871","795 to 680",NA,NA,NA,NA,NA,"919 to 669",NA,NA,NA,NA,NA,"p3k14c"
"Beta-161600",NA,"42Wn2381","USA","Utah",960,60,853,1097,"Zea mays","Zea Mays",NA,-8.5,"AMS","922 to 897","889 to 794",NA,NA,NA,NA,NA,"956 to 735",NA,NA,NA,NA,NA,"p3k14c"
"Beta-161850","El Taller","AA:12:92","USA","Arizona",3730,40,4078,-2129,"Zea mays","maize",NA,-24,"AMS","4148 to 4111","4101 to 4074","4072 to 4072","4043 to 3989",NA,NA,NA,"4231 to 4200","4180 to 4169","4158 to 3972","3942 to 3932",NA,NA,"p3k14c"
"Beta-161851","Rillito Fan","AA:12:788 (ASM)","USA","Arizona",760,40,691,1259,"Zea mays","cupule","charred",-10.8,"AMS","722 to 704","696 to 670",NA,NA,NA,NA,NA,"734 to 651","577 to 574",NA,NA,NA,NA,"p3k14c"
"Beta-161854","El Taller","AA:12:92 (ASM)","USA","Arizona",3080,50,3286,-1337,"Zea mays","cupule","charred",-10.3,"AMS","3359 to 3234",NA,NA,NA,NA,NA,NA,"3439 to 3433","3397 to 3161",NA,NA,NA,NA,"p3k14c"
"Beta-161855","El Taller","AA:12:92 (ASM)","USA","Arizona",3010,40,3203,-1254,"Zea mays","cupule","charred",-10,"AMS","3325 to 3299","3251 to 3150","3089 to 3083",NA,NA,NA,NA,"3342 to 3284","3273 to 3072",NA,NA,NA,NA,"p3k14c"
"Beta-161895","Trail Canyon Alcove","42Ka1819","USA","Utah",980,60,864,1086,"Zea mays","Zea Mays",NA,-8.4,NA,"954 to 947","930 to 898","888 to 884","874 to 794",NA,NA,NA,"1046 to 1039","973 to 735",NA,NA,NA,NA,"p3k14c"
"Beta-161896","Trail Canyon Alcove","42Ka1819","USA","Utah",1390,70,1302,648,"Zea mays","Zea Mays",NA,-9.8,NA,"1359 to 1268","1206 to 1191","1184 to 1179",NA,NA,NA,NA,"1408 to 1176","1159 to 1149","1139 to 1131",NA,NA,NA,"p3k14c"
"Beta-162533","Tularosa Cave","LAà","USA","New Mexico",710,50,659,1291,"Zea mays","cob","uncharred",NA,"AMS","685 to 644","586 to 566",NA,NA,NA,NA,NA,"727 to 626","596 to 557",NA,NA,NA,NA,"p3k14c"
